 Countries (2010) ,PERSONAL FREEDOM,ECONOMIC FREEDOM,HUMAN FREEDOM INDEX,GDP PER CAPITA,PPP (constant 2017 international $
 New Zealand ,9.45,8.08,8.76,37657.1432,
 Nicaragua ,7.22,7.26,7.24,4611.785692,
 Niger ,7.13,6.02,6.58,1036.904305,
 Nigeria ,5.46,6.17,5.82,4932.3348,
 Norway ,9.61,7.46,8.53,61353.49639,
 Oman ,4.9,7.29,6.1,33864.98374,
 Pakistan ,4.48,6.29,5.38,3906.873971,
 Panama ,7.48,7.21,7.34,21343.30499,
 Papua New Guinea ,7.3,6.94,7.12,3406.64404,
 Paraguay ,7.11,6.75,6.93,10415.65644,
 Peru ,7.33,7.6,7.47,10066.46757,
 Philippines ,7.37,7.16,7.26,5918.373229,
 Poland ,8.98,7.1,8.04,23996.13978,
 Portugal ,9.05,6.96,8.01,31798.15381,
 Qatar ,4.38,7.58,5.98,95908.31282,
 Romania ,8.76,7.45,8.1,20303.1628,
 Russia ,6.59,6.55,6.57,23961.22029,
 Rwanda ,5.69,7.32,6.5,1507.16501,
 Saudi Arabia ,3.91,7.13,5.52,44036.76735,
 Senegal ,6.66,6.04,6.35,2797.11016,
 Serbia ,7.6,6.55,7.07,14510.9633,
 Sierra Leone ,5.77,6.34,6.05,1413.563736,
 Singapore ,7.3,8.66,7.98,78294.03142,
 Slovakia ,8.83,7.42,8.12,25417.81236,
 Slovenia ,8.58,6.56,7.57,33355.84763,
 South Africa ,6.86,6.73,6.8,12452.33753,
 Spain ,9.18,7.28,8.23,37319.47622,
 Sri Lanka ,6.43,6.49,6.46,9126.865612,
 Suriname ,8.24,6.78,7.51,18840.36897,
 Swaziland ,4.79,6.69,5.74,7459.227976,
 Sweden ,9.54,7.51,8.52,47791.37152,
 Switzerland ,9.39,8.24,8.82,65819.73725,
 Tajikistan ,7.18,6.33,6.75,2390.022174,
 Tanzania ,6.42,6.78,6.6,2006.971326,
 Thailand ,7.77,6.7,7.23,14399.04451,
 Togo ,5.6,5.56,5.58,1625.545446,
 Trinidad and Tobago ,6.63,6.97,6.8,28879.28737,
 Tunisia ,5.27,6.65,5.96,10113.37035,
 Turkey ,7.01,6.88,6.94,20027.66683,
 Uganda ,5.43,7.33,6.38,1861.282458,
 Ukraine ,7.84,5.94,6.89,11778.3137,
 United Arab Emirates ,5.43,7.91,6.67,54921.77558,
 United Kingdom ,9.12,7.8,8.46,42089.01364,
 United States of America ,8.73,7.76,8.24,54315.91248,
 Uruguay ,8.8,7.31,8.05,19293.7408,
 Vietnam ,6.36,6.35,6.35,5089.411016,
 Yemen ,4.62,6.33,5.47,,
 Zambia ,5.74,7.21,6.48,3125.528849,
 Zimbabwe ,5.12,4.45,4.79,2458.220626,
